cat -T /Downloads/index.html| execve;brk;mmap;access;openat;newfstatat;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;mmap;rseq;mprotect;mprotect;mprotect;munmap;getrandom;brk;brk;openat;openat;newfstatat;read;read;close;openat;openat;newfstatat;mmap;close;openat;newfstatat;mmap;close;futex;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;close;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;newfstatat;openat;write;write;openat;openat;openat;write;write;close;close
cat -e /Downloads/forrest-sense-of-self.pdf| execve;brk;mmap;access;openat;newfstatat;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;mmap;rseq;mprotect;mprotect;mprotect;munmap;getrandom;brk;brk;openat;openat;newfstatat;read;read;close;openat;openat;newfstatat;mmap;close;openat;newfstatat;mmap;close;futex;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;close;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;newfstatat;openat;write;write;openat;openat;openat;write;write;close;close
cat -b /Downloads/firefox/defaults| execve;brk;mmap;access;openat;newfstatat;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;mmap;rseq;mprotect;mprotect;mprotect;munmap;getrandom;brk;brk;openat;openat;newfstatat;read;read;close;openat;openat;newfstatat;mmap;close;openat;newfstatat;mmap;close;futex;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;close;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;newfstatat;openat;write;write;openat;openat;openat;write;write;close;close
cat  /Downloads/index.html| execve;brk;mmap;access;openat;newfstatat;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;mmap;rseq;mprotect;mprotect;mprotect;munmap;getrandom;brk;brk;openat;openat;newfstatat;read;read;close;openat;openat;newfstatat;mmap;close;openat;newfstatat;mmap;close;futex;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;close;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;newfstatat;openat;write;write;openat;openat;openat;write;write;openat;write;write;write;write;close;close
cat -v /Downloads/firefox/firefox.sig| execve;brk;mmap;access;openat;newfstatat;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;mmap;rseq;mprotect;mprotect;mprotect;munmap;getrandom;brk;brk;openat;openat;newfstatat;read;read;close;openat;openat;newfstatat;mmap;close;openat;newfstatat;mmap;close;futex;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;close;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;newfstatat;openat;write;write;openat;openat;openat;write;write;close;close
cat -A /Pictures/Screenshots/'Picture5(TheBoys).jpeg'| execve;brk;mmap;access;openat;newfstatat;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;mmap;rseq;mprotect;mprotect;mprotect;munmap;getrandom;brk;brk;openat;openat;newfstatat;read;read;close;openat;openat;newfstatat;mmap;close;openat;newfstatat;mmap;close;futex;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;close;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;newfstatat;openat;write;write;openat;openat;openat;write;write;close;close
cat  /Documents/Strong-Password-Generator/passwords.txt| execve;brk;mmap;access;openat;newfstatat;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;mmap;rseq;mprotect;mprotect;mprotect;munmap;getrandom;brk;brk;openat;openat;newfstatat;read;read;close;openat;openat;newfstatat;mmap;close;openat;newfstatat;mmap;close;futex;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;close;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;newfstatat;openat;write;write;openat;openat;openat;write;write;openat;write;write;write;write;close;close
cat -E /Documents/Sorting-and-Searching-Algorithms/'Relatório de ALG2.pdf'| execve;brk;mmap;access;openat;newfstatat;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;mmap;rseq;mprotect;mprotect;mprotect;munmap;getrandom;brk;brk;openat;openat;newfstatat;read;read;close;openat;openat;newfstatat;mmap;close;openat;newfstatat;mmap;close;futex;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;close;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;newfstatat;openat;write;write;openat;openat;openat;write;write;openat;write;write;write;write;openat;write;write;write;write;close;close
cat  /Documents/Rubiks05.github.io/Assets| execve;brk;mmap;access;openat;newfstatat;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;mmap;rseq;mprotect;mprotect;mprotect;munmap;getrandom;brk;brk;openat;openat;newfstatat;read;read;close;openat;openat;newfstatat;mmap;close;openat;newfstatat;mmap;close;futex;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;close;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;newfstatat;openat;write;write;openat;openat;openat;write;write;openat;write;write;write;write;close;close
cat -n /snap/snapd-desktop-integration/common| execve;brk;mmap;access;openat;newfstatat;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;mmap;rseq;mprotect;mprotect;mprotect;munmap;getrandom;brk;brk;openat;openat;newfstatat;read;read;close;openat;openat;newfstatat;mmap;close;openat;newfstatat;mmap;close;futex;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;close;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;newfstatat;openat;write;write;openat;openat;openat;write;write;close;close
cat -T /Documents/Computer-Science-Freshmen-at-UFPR/CM311| execve;brk;mmap;access;openat;newfstatat;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;mmap;rseq;mprotect;mprotect;mprotect;munmap;getrandom;brk;brk;openat;openat;newfstatat;read;read;close;openat;openat;newfstatat;mmap;close;openat;newfstatat;mmap;close;futex;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;close;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;newfstatat;openat;write;write;openat;openat;openat;write;write;close;close
